291,Opel Astra 1.4 Turbo Start/Stop Automatik Business,39999,160000,Benzyna,Automatyczna,2016
292,Opel Astra IV 1.4 T Business EU6,22500,212000,Benzyna,Manualna,2013
293,Opel Astra,14900,193000,Diesel,Manualna,2008
294,Opel Astra V 1.5 CDTI Edition S&S,34900,149556,Diesel,Manualna,2021
295,Opel Astra 1.4 Turbo Active,19900,129000,Benzyna,Manualna,2012
296,Opel Astra III 1.6,19999,117000,Benzyna+LPG,Manualna,2011
297,Opel Astra 1.4 Active,21000,132000,Benzyna,Manualna,2011
298,Opel Astra 1.4 Turbo Automatik Cosmo,25800,182000,Benzyna,Automatyczna,2011
299,Opel Astra 1.4 Edition,18900,189000,Benzyna,Manualna,2010
300,Opel Astra IV GTC 1.4 T Sport S&S EU6,35900,119000,Benzyna,Manualna,2014
301,Opel Astra V 1.6 CDTI Enjoy S&S,34500,128117,Diesel,Manualna,2019
302,Opel Astra,35000,127040,Benzyna+LPG,Manualna,2017
303,Opel Astra IV 1.6 CDTI Cosmo,13999,280000,Diesel,Manualna,2016
304,Opel Astra,19500,262023,Benzyna+LPG,Manualna,2013
305,Opel Astra V 1.4 T Elite,49800,83000,Benzyna,Manualna,2018
306,Opel Astra 1.4 Turbo ecoFLEX Start/Stop Color Edition,26800,196000,Benzyna,Manualna,2015
307,Opel Astra,35500,168000,Benzyna,Manualna,2016
308,Opel Astra GTC 1.6,13500,130615,Benzyna,Manualna,2007
309,Opel Astra 1.6 Sports Tourer,24900,145000,Benzyna,Manualna,2015
310,Opel Astra,39900,166000,Diesel,Automatyczna,2019
311,Opel Astra 1.6 D Start/Stop Automatik Sports Tourer Ultimate,33900,197000,Diesel,Automatyczna,2016
312,Opel Astra,60600,81237,Benzyna,Automatyczna,2021
313,Opel Astra IV 1.6 CDTI Cosmo,37500,126000,Diesel,Manualna,2017
314,Opel Astra 1.7 CDTI DPF Sports Tourer,16900,204000,Diesel,Manualna,2011
315,Opel Astra 2.0 CDTI ecoFLEX Start/Stop ENERGY,26000,268000,Diesel,Manualna,2015
316,Opel Astra 1.8 NAVI,11250,147000,Benzyna,Manualna,2006
317,Opel Astra IV 2.0 CDTI Sport,23700,263187,Diesel,Manualna,2013
318,Opel Astra,39000,91124,Diesel,Manualna,2018
319,Opel Astra IV GTC OPC,52500,85000,Benzyna,Manualna,2013
320,Opel Astra TwinTop 1.6 Enjoy,20900,160000,Benzyna+LPG,Manualna,2010
321,Opel Astra GTC 1.6 SIDI Turbo ecoFLEX Start/Stop Innovation,38888,87000,Benzyna,Manualna,2013
322,Opel Astra,29900,105954,Benzyna,Manualna,2015
323,Opel Astra 1.6 Selection,29900,156000,Benzyna,Manualna,2015
324,Opel Astra,15800,110000,Benzyna,Manualna,2011
325,Opel Astra 1.4 Turbo Sports Tourer 150 Jahre,31900,155000,Benzyna,Manualna,2016
326,Opel Astra,22499,184000,Benzyna,Manualna,2012
327,Opel Astra IV 1.4 Enjoy,19500,186000,Benzyna,Manualna,2011
328,Opel Astra IV 1.4 Active,24800,165000,Benzyna,Manualna,2013
329,Opel Astra GTC 1.4 Turbo ecoFLEX Start/Stop Innovation,26500,142233,Benzyna,Manualna,2011
330,Opel Astra V 1.6 CDTI Elite S&S,38000,169471,Diesel,Manualna,2019
331,Opel Astra III 1.6,16900,157000,Benzyna,Manualna,2012
332,Opel Astra 1.7 CDTI DPF Selection,17500,200000,Diesel,Manualna,2011
333,Opel Astra GTC 1.6 Turbo Edition,20700,202000,Benzyna,Manualna,2010
334,Opel Astra 1.4 Turbo Active,27900,132000,Benzyna,Manualna,2013
335,Opel Astra IV 1.4 T Enjoy S&S,28900,174255,Benzyna,Manualna,2013
336,Opel Astra 1.4 Turbo Sports Tourer,20999,130862,Benzyna,Manualna,2010
337,Opel Astra 1.4 Turbo Sport,23900,115000,Benzyna,Manualna,2011
338,Opel Astra,11999,159000,Benzyna+LPG,Automatyczna,2004
339,Opel Astra 1.6 Turbo White Edition,28900,154000,Benzyna,Manualna,2011
340,Opel Astra 1.4 Turbo Sports Tourer Edition,27900,149650,Benzyna,Manualna,2015
341,Opel Astra,32900,180000,Benzyna+LPG,Manualna,2015
342,Opel Astra,42000,104249,Benzyna+LPG,Manualna,2017
343,Opel Astra 1.4 Turbo Cosmo,20900,179752,Benzyna,Manualna,2011
344,Opel Astra,41900,115000,Diesel,Manualna,2019
345,Opel Astra V 1.4 T Enjoy,36500,136440,Benzyna,Manualna,2016
346,Opel Astra,47000,100848,Benzyna,Manualna,2019
347,Opel Astra 1.4 Active,23800,90000,Benzyna,Manualna,2010
348,Opel Astra V 1.5 CDTI Edition S&S,45300,130461,Diesel,Manualna,2021
